00:24:42.822555 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2185132077:2185132136, ack 1026504673, win 502, options [nop,nop,TS val 3545655208 ecr 2573985033], length 59

00:24:47.937841 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6397, win 502, options [nop,nop,TS val 3545660323 ecr 2573990248], length 0

00:24:47.941964 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3009:3068, ack 6274, win 502, options [nop,nop,TS val 3545660327 ecr 2573990153], length 59

00:24:47.942278 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 6274:6397, ack 3068, win 509, options [nop,nop,TS val 2573990253 ecr 3545660327], length 123

00:24:47.942348 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6397, win 502, options [nop,nop,TS val 3545660328 ecr 2573990253], length 0

00:24:47.947452 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3009:3068, ack 6274, win 502, options [nop,nop,TS val 3545660333 ecr 2573990158], length 59

00:24:47.947738 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 6274:6397, ack 3068, win 509, options [nop,nop,TS val 2573990258 ecr 3545660333], length 123

00:24:47.947813 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6397, win 502, options [nop,nop,TS val 3545660333 ecr 2573990258], length 0

00:24:47.951904 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3009:3068, ack 6274, win 502, options [nop,nop,TS val 3545660337 ecr 2573990163], length 59

00:24:47.952198 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 6274:6397, ack 3068, win 509, options [nop,nop,TS val 2573990263 ecr 3545660337], length 123

00:24:47.952247 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6397, win 502, options [nop,nop,TS val 3545660338 ecr 2573990263], length 0

00:24:47.956327 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3009:3068, ack 6274, win 502, options [nop,nop,TS val 3545660342 ecr 2573990167], length 59

00:24:47.956630 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 6274:6397, ack 3068, win 509, options [nop,nop,TS val 2573990267 ecr 3545660342], length 123

00:24:47.956680 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6397, win 502, options [nop,nop,TS val 3545660342 ecr 2573990267], length 0

00:24:47.961792 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3009:3068, ack 6274, win 502, options [nop,nop,TS val 3545660347 ecr 2573990173], length 59

00:24:47.962125 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 6274:6397, ack 3068, win 509, options [nop,nop,TS val 2573990272 ecr 3545660347], length 123

00:24:47.962195 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6397, win 502, options [nop,nop,TS val 3545660348 ecr 2573990272], length 0

00:24:47.967299 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3009:3068, ack 6274, win 502, options [nop,nop,TS val 3545660353 ecr 2573990177], length 59

00:24:47.967495 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 6274:6397, ack 3068, win 509, options [nop,nop,TS val 2573990278 ecr 3545660353], length 123

00:24:47.967565 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6397, win 502, options [nop,nop,TS val 3545660353 ecr 2573990278], length 0

00:24:48.022697 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660408 ecr 2573990233], length 59

00:24:48.022893 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990333 ecr 3545660408], length 123

00:24:48.022940 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660408 ecr 2573990333], length 0

00:24:48.027073 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660413 ecr 2573990238], length 59

00:24:48.027393 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990338 ecr 3545660413], length 123

00:24:48.027462 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660413 ecr 2573990338], length 0

00:24:48.032667 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660418 ecr 2573990243], length 59

00:24:48.032858 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990343 ecr 3545660418], length 123

00:24:48.032924 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660418 ecr 2573990343], length 0

00:24:48.038051 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660424 ecr 2573990248], length 59

00:24:48.038333 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990349 ecr 3545660424], length 123

00:24:48.038401 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660424 ecr 2573990349], length 0

00:24:48.042625 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660428 ecr 2573990253], length 59

00:24:48.042821 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990353 ecr 3545660428], length 123

00:24:48.042862 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660428 ecr 2573990353], length 0

00:24:48.047967 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660433 ecr 2573990258], length 59

00:24:48.048175 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990359 ecr 3545660433], length 123

00:24:48.048230 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660434 ecr 2573990359], length 0

00:24:48.052311 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660438 ecr 2573990263], length 59

00:24:48.052639 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990363 ecr 3545660438], length 123

00:24:48.052689 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660438 ecr 2573990363], length 0

00:24:48.056887 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660442 ecr 2573990267], length 59

00:24:48.057085 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990367 ecr 3545660442], length 123

00:24:48.057159 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660443 ecr 2573990367], length 0

00:24:48.062383 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660448 ecr 2573990272], length 59

00:24:48.062597 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990373 ecr 3545660448], length 123

00:24:48.062638 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660448 ecr 2573990373], length 0

00:24:48.066760 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3068:3127, ack 6397, win 502, options [nop,nop,TS val 3545660452 ecr 2573990278], length 59

00:24:48.066972 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 6397:6520, ack 3127, win 509, options [nop,nop,TS val 2573990377 ecr 3545660452], length 123

00:24:48.067061 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6520, win 502, options [nop,nop,TS val 3545660453 ecr 2573990377], length 0

00:24:48.122190 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660508 ecr 2573990333], length 59

00:24:48.122499 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990433 ecr 3545660508], length 123

00:24:48.122567 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660508 ecr 2573990433], length 0

00:24:48.127671 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660513 ecr 2573990338], length 59

00:24:48.127978 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990438 ecr 3545660513], length 123

00:24:48.128028 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660513 ecr 2573990438], length 0

00:24:48.132149 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660518 ecr 2573990343], length 59

00:24:48.132448 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990443 ecr 3545660518], length 123

00:24:48.132493 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660518 ecr 2573990443], length 0

00:24:48.137605 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660523 ecr 2573990349], length 59

00:24:48.137812 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990448 ecr 3545660523], length 123

00:24:48.137886 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660523 ecr 2573990448], length 0

00:24:48.142016 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660527 ecr 2573990353], length 59

00:24:48.142315 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990453 ecr 3545660527], length 123

00:24:48.142383 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660528 ecr 2573990453], length 0

00:24:48.147486 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660533 ecr 2573990359], length 59

00:24:48.147801 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990458 ecr 3545660533], length 123

00:24:48.147870 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660533 ecr 2573990458], length 0

00:24:48.151971 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660537 ecr 2573990363], length 59

00:24:48.152277 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990463 ecr 3545660537], length 123

00:24:48.152326 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660538 ecr 2573990463], length 0

00:24:48.156416 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660542 ecr 2573990367], length 59

00:24:48.156640 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990467 ecr 3545660542], length 123

00:24:48.156692 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660542 ecr 2573990467], length 0

00:24:48.161804 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660547 ecr 2573990373], length 59

00:24:48.162109 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990472 ecr 3545660547], length 123

00:24:48.162173 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660548 ecr 2573990472], length 0

00:24:48.167277 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3127:3186, ack 6520, win 502, options [nop,nop,TS val 3545660553 ecr 2573990377], length 59

00:24:48.167472 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 6520:6643, ack 3186, win 509, options [nop,nop,TS val 2573990478 ecr 3545660553], length 123

00:24:48.167543 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6643, win 502, options [nop,nop,TS val 3545660553 ecr 2573990478], length 0

00:24:48.222773 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660608 ecr 2573990433], length 59

00:24:48.222995 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990533 ecr 3545660608], length 123

00:24:48.223055 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660608 ecr 2573990533], length 0

00:24:48.227201 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660613 ecr 2573990438], length 59

00:24:48.227532 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990538 ecr 3545660613], length 123

00:24:48.227601 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660613 ecr 2573990538], length 0

00:24:48.232807 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660618 ecr 2573990443], length 59

00:24:48.233130 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990543 ecr 3545660618], length 123

00:24:48.233182 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660619 ecr 2573990543], length 0

00:24:48.237303 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660623 ecr 2573990448], length 59

00:24:48.237731 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990548 ecr 3545660623], length 123

00:24:48.237799 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660623 ecr 2573990548], length 0

00:24:48.243023 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660628 ecr 2573990453], length 59

00:24:48.243264 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990554 ecr 3545660628], length 123

00:24:48.243338 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660629 ecr 2573990554], length 0

00:24:48.247443 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660633 ecr 2573990458], length 59

00:24:48.247865 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990558 ecr 3545660633], length 123

00:24:48.247933 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660633 ecr 2573990558], length 0

00:24:48.253139 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660639 ecr 2573990463], length 59

00:24:48.253447 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990564 ecr 3545660639], length 123

00:24:48.253515 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660639 ecr 2573990564], length 0

00:24:48.256619 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660642 ecr 2573990467], length 59

00:24:48.256948 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990567 ecr 3545660642], length 123

00:24:48.256998 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660642 ecr 2573990567], length 0

00:24:48.262213 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660648 ecr 2573990472], length 59

00:24:48.262520 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990573 ecr 3545660648], length 123

00:24:48.262576 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660648 ecr 2573990573], length 0

00:24:48.266801 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3186:3245, ack 6643, win 502, options [nop,nop,TS val 3545660652 ecr 2573990478], length 59

00:24:48.267110 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54606: Flags [P.], seq 6643:6766, ack 3245, win 509, options [nop,nop,TS val 2573990577 ecr 3545660652], length 123

00:24:48.267189 IP amd256.utah.cloudlab.us.54606 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6766, win 502, options [nop,nop,TS val 3545660653 ecr 2573990577], length 0

00:24:48.322420 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660708 ecr 2573990533], length 59

00:24:48.322729 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54530: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990633 ecr 3545660708], length 123

00:24:48.322771 IP amd256.utah.cloudlab.us.54530 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660708 ecr 2573990633], length 0

00:24:48.327869 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660713 ecr 2573990538], length 59

00:24:48.328194 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54532: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990638 ecr 3545660713], length 123

00:24:48.328270 IP amd256.utah.cloudlab.us.54532 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660714 ecr 2573990638], length 0

00:24:48.332382 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660718 ecr 2573990543], length 59

00:24:48.332564 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54540: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990643 ecr 3545660718], length 123

00:24:48.332634 IP amd256.utah.cloudlab.us.54540 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660718 ecr 2573990643], length 0

00:24:48.337761 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660723 ecr 2573990548], length 59

00:24:48.338086 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54542: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990648 ecr 3545660723], length 123

00:24:48.338154 IP amd256.utah.cloudlab.us.54542 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660724 ecr 2573990648], length 0

00:24:48.342378 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660728 ecr 2573990554], length 59

00:24:48.342692 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54544: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990653 ecr 3545660728], length 123

00:24:48.342733 IP amd256.utah.cloudlab.us.54544 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660728 ecr 2573990653], length 0

00:24:48.347832 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660733 ecr 2573990558], length 59

00:24:48.348157 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54550: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990658 ecr 3545660733], length 123

00:24:48.348226 IP amd256.utah.cloudlab.us.54550 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660734 ecr 2573990658], length 0

00:24:48.352335 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660738 ecr 2573990564], length 59

00:24:48.352515 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54560: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990663 ecr 3545660738], length 123

00:24:48.352564 IP amd256.utah.cloudlab.us.54560 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660738 ecr 2573990663], length 0

00:24:48.357676 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660743 ecr 2573990567], length 59

00:24:48.358098 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54576: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990668 ecr 3545660743], length 123

00:24:48.358167 IP amd256.utah.cloudlab.us.54576 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660744 ecr 2573990668], length 0

00:24:48.362327 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 3245:3304, ack 6766, win 502, options [nop,nop,TS val 3545660748 ecr 2573990573], length 59

00:24:48.362639 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.54590: Flags [P.], seq 6766:6889, ack 3304, win 509, options [nop,nop,TS val 2573990673 ecr 3545660748], length 123

00:24:48.362673 IP amd256.utah.cloudlab.us.54590 > amd261.utah.cloudlab.us.8000: Flags [.], ack 6889, win 502, options [nop,nop,TS val 3545660748 ecr 2573990673], length 0

