18:44:27.876614 IP amd256.utah.cloudlab.us.40682 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1639087334:1639087393, ack 588185414, win 502, options [nop,nop,TS val 3698040262 ecr 2726369707], length 59

18:44:34.121384 IP amd256.utah.cloudlab.us.40700 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046507 ecr 2726376432], length 0

18:44:34.122066 IP amd256.utah.cloudlab.us.40734 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046508 ecr 2726375954], length 59

18:44:34.122246 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40734: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376433 ecr 3698046508], length 123

18:44:34.122267 IP amd256.utah.cloudlab.us.40734 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046508 ecr 2726376433], length 0

18:44:34.122354 IP amd256.utah.cloudlab.us.40728 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046508 ecr 2726375953], length 59

18:44:34.122486 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40728: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376433 ecr 3698046508], length 123

18:44:34.122508 IP amd256.utah.cloudlab.us.40728 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046508 ecr 2726376433], length 0

18:44:34.122923 IP amd256.utah.cloudlab.us.40740 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046508 ecr 2726375953], length 59

18:44:34.122988 IP amd256.utah.cloudlab.us.40746 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046508 ecr 2726375953], length 59

18:44:34.123061 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40740: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376434 ecr 3698046508], length 123

18:44:34.123072 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40746: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376434 ecr 3698046508], length 123

18:44:34.123082 IP amd256.utah.cloudlab.us.40746 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046509 ecr 2726376434], length 0

18:44:34.123083 IP amd256.utah.cloudlab.us.40740 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046509 ecr 2726376434], length 0

18:44:34.126217 IP amd256.utah.cloudlab.us.40798 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046512 ecr 2726375958], length 59

18:44:34.126336 IP amd256.utah.cloudlab.us.40752 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046512 ecr 2726375958], length 59

18:44:34.126357 IP amd256.utah.cloudlab.us.40766 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046512 ecr 2726375958], length 59

18:44:34.126361 IP amd256.utah.cloudlab.us.40754 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046512 ecr 2726375958], length 59

18:44:34.126383 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40798: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376437 ecr 3698046512], length 123

18:44:34.126399 IP amd256.utah.cloudlab.us.40798 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046512 ecr 2726376437], length 0

18:44:34.126408 IP amd256.utah.cloudlab.us.40794 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046512 ecr 2726375958], length 59

18:44:34.126446 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40752: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376437 ecr 3698046512], length 123

18:44:34.126467 IP amd256.utah.cloudlab.us.40752 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046512 ecr 2726376437], length 0

18:44:34.126727 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40794: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376437 ecr 3698046512], length 123

18:44:34.126727 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40766: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376437 ecr 3698046512], length 123

18:44:34.126728 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40754: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376437 ecr 3698046512], length 123

18:44:34.126748 IP amd256.utah.cloudlab.us.40794 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046512 ecr 2726376437], length 0

18:44:34.126748 IP amd256.utah.cloudlab.us.40754 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046512 ecr 2726376437], length 0

18:44:34.126749 IP amd256.utah.cloudlab.us.40766 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046512 ecr 2726376437], length 0

18:44:34.126756 IP amd256.utah.cloudlab.us.40764 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046512 ecr 2726375958], length 59

18:44:34.126757 IP amd256.utah.cloudlab.us.40784 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046512 ecr 2726375958], length 59

18:44:34.126957 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40764: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376438 ecr 3698046512], length 123

18:44:34.126978 IP amd256.utah.cloudlab.us.40764 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046512 ecr 2726376438], length 0

18:44:34.126996 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40784: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376438 ecr 3698046512], length 123

18:44:34.127010 IP amd256.utah.cloudlab.us.40784 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046512 ecr 2726376438], length 0

18:44:34.127203 IP amd256.utah.cloudlab.us.40800 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046513 ecr 2726375959], length 59

18:44:34.127343 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40800: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376438 ecr 3698046513], length 123

18:44:34.127358 IP amd256.utah.cloudlab.us.40800 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046513 ecr 2726376438], length 0

18:44:34.130593 IP amd256.utah.cloudlab.us.40812 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046516 ecr 2726375962], length 59

18:44:34.130794 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40812: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376441 ecr 3698046516], length 123

18:44:34.130816 IP amd256.utah.cloudlab.us.40812 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046516 ecr 2726376441], length 0

18:44:34.130883 IP amd256.utah.cloudlab.us.40816 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046516 ecr 2726375961], length 59

18:44:34.130887 IP amd256.utah.cloudlab.us.40828 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046516 ecr 2726375961], length 59

18:44:34.131000 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40828: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376442 ecr 3698046516], length 123

18:44:34.131026 IP amd256.utah.cloudlab.us.40828 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046516 ecr 2726376442], length 0

18:44:34.131166 IP amd256.utah.cloudlab.us.40824 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046517 ecr 2726375961], length 59

18:44:34.131235 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40816: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376442 ecr 3698046516], length 123

18:44:34.131257 IP amd256.utah.cloudlab.us.40816 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046517 ecr 2726376442], length 0

18:44:34.131302 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40824: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376442 ecr 3698046517], length 123

18:44:34.131323 IP amd256.utah.cloudlab.us.40824 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046517 ecr 2726376442], length 0

18:44:34.131503 IP amd256.utah.cloudlab.us.40840 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046517 ecr 2726375963], length 59

18:44:34.131612 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40840: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376442 ecr 3698046517], length 123

18:44:34.131634 IP amd256.utah.cloudlab.us.40840 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046517 ecr 2726376442], length 0

18:44:34.131869 IP amd256.utah.cloudlab.us.40860 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046517 ecr 2726375963], length 59

18:44:34.131962 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40860: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376443 ecr 3698046517], length 123

18:44:34.131977 IP amd256.utah.cloudlab.us.40860 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046517 ecr 2726376443], length 0

18:44:34.132320 IP amd256.utah.cloudlab.us.40866 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046518 ecr 2726375963], length 59

18:44:34.132413 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40866: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376443 ecr 3698046518], length 123

18:44:34.132426 IP amd256.utah.cloudlab.us.40866 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046518 ecr 2726376443], length 0

18:44:34.132512 IP amd256.utah.cloudlab.us.40850 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046518 ecr 2726375963], length 59

18:44:34.132605 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40850: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376443 ecr 3698046518], length 123

18:44:34.132617 IP amd256.utah.cloudlab.us.40850 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046518 ecr 2726376443], length 0

18:44:34.135941 IP amd256.utah.cloudlab.us.40882 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046521 ecr 2726375967], length 59

18:44:34.136029 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40882: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376447 ecr 3698046521], length 123

18:44:34.136054 IP amd256.utah.cloudlab.us.40882 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046522 ecr 2726376447], length 0

18:44:34.136207 IP amd256.utah.cloudlab.us.40892 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046522 ecr 2726375967], length 59

18:44:34.136276 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40892: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376447 ecr 3698046522], length 123

18:44:34.136283 IP amd256.utah.cloudlab.us.40892 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046522 ecr 2726376447], length 0

18:44:34.136361 IP amd256.utah.cloudlab.us.40912 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046522 ecr 2726375967], length 59

18:44:34.136432 IP amd256.utah.cloudlab.us.40900 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046522 ecr 2726375968], length 59

18:44:34.136454 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40912: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376447 ecr 3698046522], length 123

18:44:34.136465 IP amd256.utah.cloudlab.us.40912 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046522 ecr 2726376447], length 0

18:44:34.136520 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40900: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376447 ecr 3698046522], length 123

18:44:34.136542 IP amd256.utah.cloudlab.us.40900 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046522 ecr 2726376447], length 0

18:44:34.136772 IP amd256.utah.cloudlab.us.40928 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046522 ecr 2726375968], length 59

18:44:34.136851 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40928: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376448 ecr 3698046522], length 123

18:44:34.136864 IP amd256.utah.cloudlab.us.40928 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046522 ecr 2726376448], length 0

18:44:34.137159 IP amd256.utah.cloudlab.us.40934 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046523 ecr 2726375969], length 59

18:44:34.137237 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40934: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376448 ecr 3698046523], length 123

18:44:34.137258 IP amd256.utah.cloudlab.us.40934 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046523 ecr 2726376448], length 0

18:44:34.137549 IP amd256.utah.cloudlab.us.40960 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046523 ecr 2726375969], length 59

18:44:34.137648 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40960: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376448 ecr 3698046523], length 123

18:44:34.137669 IP amd256.utah.cloudlab.us.40960 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046523 ecr 2726376448], length 0

18:44:34.137756 IP amd256.utah.cloudlab.us.40946 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046523 ecr 2726375968], length 59

18:44:34.137836 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40946: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376449 ecr 3698046523], length 123

18:44:34.137849 IP amd256.utah.cloudlab.us.40946 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046523 ecr 2726376449], length 0

18:44:34.140396 IP amd256.utah.cloudlab.us.40970 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046526 ecr 2726375972], length 59

18:44:34.140489 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40970: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376451 ecr 3698046526], length 123

18:44:34.140501 IP amd256.utah.cloudlab.us.40970 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046526 ecr 2726376451], length 0

18:44:34.141200 IP amd256.utah.cloudlab.us.41006 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046527 ecr 2726375973], length 59

18:44:34.141302 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41006: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376452 ecr 3698046527], length 123

18:44:34.141323 IP amd256.utah.cloudlab.us.41006 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046527 ecr 2726376452], length 0

18:44:34.141390 IP amd256.utah.cloudlab.us.41036 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046527 ecr 2726375973], length 59

18:44:34.141477 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41036: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376452 ecr 3698046527], length 123

18:44:34.141490 IP amd256.utah.cloudlab.us.41036 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046527 ecr 2726376452], length 0

18:44:34.141597 IP amd256.utah.cloudlab.us.40990 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046527 ecr 2726375973], length 59

18:44:34.141683 IP amd256.utah.cloudlab.us.40974 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046527 ecr 2726375972], length 59

18:44:34.141708 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40990: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376452 ecr 3698046527], length 123

18:44:34.141730 IP amd256.utah.cloudlab.us.40990 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046527 ecr 2726376452], length 0

18:44:34.141793 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40974: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376452 ecr 3698046527], length 123

18:44:34.141813 IP amd256.utah.cloudlab.us.40974 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046527 ecr 2726376452], length 0

18:44:34.141832 IP amd256.utah.cloudlab.us.41038 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046527 ecr 2726375973], length 59

18:44:34.141957 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41038: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376453 ecr 3698046527], length 123

18:44:34.141980 IP amd256.utah.cloudlab.us.41038 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046527 ecr 2726376453], length 0

18:44:34.142968 IP amd256.utah.cloudlab.us.41020 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046528 ecr 2726375973], length 59

18:44:34.143005 IP amd256.utah.cloudlab.us.41054 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 767:826, ack 1600, win 502, options [nop,nop,TS val 3698046528 ecr 2726375974], length 59

18:44:34.143061 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41020: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376454 ecr 3698046528], length 123

18:44:34.143082 IP amd256.utah.cloudlab.us.41020 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046529 ecr 2726376454], length 0

18:44:34.143088 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41054: Flags [P.], seq 1600:1723, ack 826, win 509, options [nop,nop,TS val 2726376454 ecr 3698046528], length 123

18:44:34.143102 IP amd256.utah.cloudlab.us.41054 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1723, win 502, options [nop,nop,TS val 3698046529 ecr 2726376454], length 0

18:44:34.595923 IP amd256.utah.cloudlab.us.40644 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046981 ecr 2726376427], length 59

18:44:34.596348 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40644: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376907 ecr 3698046981], length 123

18:44:34.596369 IP amd256.utah.cloudlab.us.40644 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046982 ecr 2726376907], length 0

18:44:34.596426 IP amd256.utah.cloudlab.us.40636 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046982 ecr 2726376428], length 59

18:44:34.596558 IP amd256.utah.cloudlab.us.40654 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046982 ecr 2726376428], length 59

18:44:34.596613 IP amd256.utah.cloudlab.us.40672 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046982 ecr 2726376427], length 59

18:44:34.596663 IP amd256.utah.cloudlab.us.40682 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046982 ecr 2726376428], length 59

18:44:34.596677 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40636: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376907 ecr 3698046982], length 123

18:44:34.596697 IP amd256.utah.cloudlab.us.40636 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046982 ecr 2726376907], length 0

18:44:34.596743 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40672: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376907 ecr 3698046982], length 123

18:44:34.596755 IP amd256.utah.cloudlab.us.40672 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046982 ecr 2726376907], length 0

18:44:34.596783 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40654: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376907 ecr 3698046982], length 123

18:44:34.596806 IP amd256.utah.cloudlab.us.40654 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046982 ecr 2726376907], length 0

18:44:34.596814 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40682: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376907 ecr 3698046982], length 123

18:44:34.596839 IP amd256.utah.cloudlab.us.40682 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046982 ecr 2726376907], length 0

18:44:34.597015 IP amd256.utah.cloudlab.us.40648 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046982 ecr 2726376428], length 59

18:44:34.597052 IP amd256.utah.cloudlab.us.40666 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046983 ecr 2726376428], length 59

18:44:34.597276 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40666: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376908 ecr 3698046983], length 123

18:44:34.597277 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40648: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376908 ecr 3698046982], length 123

18:44:34.597297 IP amd256.utah.cloudlab.us.40666 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046983 ecr 2726376908], length 0

18:44:34.597299 IP amd256.utah.cloudlab.us.40648 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046983 ecr 2726376908], length 0

18:44:34.597376 IP amd256.utah.cloudlab.us.40622 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046983 ecr 2726376428], length 59

18:44:34.597603 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40622: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376908 ecr 3698046983], length 123

18:44:34.597624 IP amd256.utah.cloudlab.us.40622 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046983 ecr 2726376908], length 0

18:44:34.600867 IP amd256.utah.cloudlab.us.40700 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046986 ecr 2726376432], length 59

18:44:34.601057 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40700: Flags [P.], seq 1723:1846, ack 885, win 509, options [nop,nop,TS val 2726376912 ecr 3698046986], length 123

18:44:34.601082 IP amd256.utah.cloudlab.us.40700 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1846, win 502, options [nop,nop,TS val 3698046987 ecr 2726376912], length 0

18:44:34.601461 IP amd256.utah.cloudlab.us.40716 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046987 ecr 2726376432], length 59

18:44:34.601516 IP amd256.utah.cloudlab.us.40690 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 826:885, ack 1723, win 502, options [nop,nop,TS val 3698046987 ecr 2726376432], length 59
